Election_results.c(161): Notify: Saving Parameter "UIKs_6 = УИК \xb9156".
Election_results.c(161): Notify: Saving Parameter "UIKs_7 = УИК \xb9157".
Election_results.c(161): Notify: Saving Parameter "UIKs_8 = УИК \xb9158".
Election_results.c(161): Notify: Saving Parameter "UIKs_9 = УИК \xb9159".
Election_results.c(161): Notify: Saving Parameter "UIKs_10 = УИК \xb9160".
Election_results.c(161): Notify: Saving Parameter "UIKs_11 = УИК \xb9161".
Election_results.c(161): Notify: Saving Parameter "UIKs_12 = УИК \xb9162".
Election_results.c(161): Notify: Saving Parameter "UIKs_13 = УИК \xb9163".
Election_results.c(161): Notify: Saving Parameter "UIKs_14 = УИК \xb9164".
Election_results.c(161): Notify: Saving Parameter "UIKs_15 = УИК \xb9165".
Election_results.c(161): Notify: Saving Parameter "UIKs_16 = УИК \xb9166".
Election_results.c(161): Notify: Saving Parameter "UIKs_17 = УИК \xb9167".
Election_results.c(161): Notify: Saving Parameter "UIKs_18 = УИК \xb9168".
Election_results.c(161): Notify: Saving Parameter "UIKs_19 = УИК \xb9169".
Election_results.c(161): Notify: Saving Parameter "UIKs_20 = УИК \xb9170".
Election_results.c(161): Notify: Saving Parameter "UIKs_21 = УИК \xb9171".
Election_results.c(161): Notify: Saving Parameter "UIKs_22 = УИК \xb9172".
Election_results.c(161): Notify: Saving Parameter "UIKs_23 = УИК \xb9173".
Election_results.c(161): Notify: Saving Parameter "UIKs_24 = УИК \xb9174".
Election_results.c(161): Notify: Saving Parameter "UIKs_25 = УИК \xb9175".
Election_results.c(161): Notify: Saving Parameter "UIKs_26 = УИК \xb9176".
Election_results.c(161): Notify: Saving Parameter "UIKs_27 = УИК \xb9177".
Election_results.c(161): Notify: Saving Parameter "UIKs_28 = УИК \xb9178".
Election_results.c(161): Notify: Saving Parameter "UIKs_29 = УИК \xb9179".
Election_results.c(161): Notify: Saving Parameter "UIKs_30 = УИК \xb9180".
Election_results.c(161): Notify: Saving Parameter "Candidates_count = 248".
Election_results.c(161): Notify: Saving Parameter "UIKs_count = 30".
Election_results.c(161): web_url("сайт избирательной комиссии субъекта Российской Федерации") was successful, 43479 body bytes, 3448 header bytes, 37 chunking overhead bytes  	[MsgId: MMSG-26385]
Election_results.c(170): Notify: Parameter Substitution: parameter "UIKs_count" =  "30"
Election_results.c(177): Notify: Parameter Substitution: parameter "Region" =  "Республика Алтай"
Election_results.c(177): Notify: Parameter Substitution: parameter "Subregion" =  "Усть-Коксинская"
Election_results.c(177): Notify: Parameter Substitution: parameter "UIKs_1" =  "УИК \xb9151"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_9" =  "1"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_39" =  "73"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_69" =  "5"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_99" =  "167"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_129" =  "4"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_159" =  "3"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_189" =  "0"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_219" =  "1"
Election_results.c(177): Notify: Saving Parameter "results = Республика Алтай Усть-Коксинская УИК \xb9151 1 73 5 167 4 3 0 1".
Election_results.c(190): Notify: Parameter Substitution: parameter "results" =  "Республика Алтай Усть-Коксинская УИК \xb9151 1 73 5 167 4 3 0 1"
Election_results.c(177): Notify: Parameter Substitution: parameter "Region" =  "Республика Алтай"
Election_results.c(177): Notify: Parameter Substitution: parameter "Subregion" =  "Усть-Коксинская"
Election_results.c(177): Notify: Parameter Substitution: parameter "UIKs_2" =  "УИК \xb9152"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_10" =  "1"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_40" =  "71"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_70" =  "26"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_100" =  "276"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_130" =  "3"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_160" =  "1"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_190" =  "1"
Election_results.c(177): Notify: Parameter Substitution: parameter "Candidates_220" =  "0"
